"","Electorate","Religious_Affiliation","Religious_Fraction"
"328","Parkes","Catholic",0.27086083670961
"329","Parramatta","Catholic",0.211464147702877
"330","Paterson","Catholic",0.235584769394862
"331","Reid","Catholic",0.2674927073511
"332","Richmond","Catholic",0.202880069058877
"333","Riverina","Catholic",0.303280635201838
"334","Robertson","Catholic",0.239009664367623
"335","Shortland","Catholic",0.226782574992041
"336","Sydney","Catholic",0.150688626792753
"337","Warringah","Catholic",0.240387421690999
"338","Watson","Catholic",0.233670468977037
"339","Wentworth","Catholic",0.200638579229731
"340","Werriwa","Catholic",0.291394835848317
"341","Whitlam","Catholic",0.262549251379039
"342","Aston","Catholic",0.218698995721155
"343","Ballarat","Catholic",0.245586893056194
"344","Batman","Catholic",0.236743967795313
"345","Bendigo","Catholic",0.208188471791054
"346","Bruce","Catholic",0.193597900784022
"347","Calwell","Catholic",0.339921163682091
"348","Casey","Catholic",0.190101284619587
"349","Chisholm","Catholic",0.183108013598244
"350","Corangamite","Catholic",0.229520754222862
"351","Corio","Catholic",0.265478874554745
"352","Deakin","Catholic",0.190485599623894
"353","Dunkley","Catholic",0.20372862598288
"354","Flinders","Catholic",0.200256680868806
"355","Gellibrand","Catholic",0.240569592399004
"356","Gippsland","Catholic",0.202974138835094
"357","Goldstein","Catholic",0.210462855710676
"358","Gorton","Catholic",0.321980358720441
"359","Higgins","Catholic",0.189603876784763
"360","Holt","Catholic",0.231772605371653
"361","Hotham","Catholic",0.226140585132402
"362","Indi","Catholic",0.229521411298089
"363","Isaacs","Catholic",0.241342796273652
"364","Jagajaga","Catholic",0.256466691672387
"365","Kooyong","Catholic",0.214918947172952
"366","La Trobe","Catholic",0.222915936673781
"367","Lalor","Catholic",0.240590743127611
"368","Mallee","Catholic",0.206144654814131
"369","Maribyrnong","Catholic",0.350060390464916
"370","McEwen","Catholic",0.287354356365571
"371","McMillan","Catholic",0.206504589787722
"372","Melbourne","Catholic",0.151620620059158
"373","Melbourne Ports","Catholic",0.158457737758169
"374","Menzies","Catholic",0.22621878067401
"375","Murray","Catholic",0.248510655861756
"376","Scullin","Catholic",0.280586547277425
"377","Wannon","Catholic",0.23256735340729
"378","Wills","Catholic",0.271142181798891
"379","Blair","Catholic",0.192567762076267
"380","Bonner","Catholic",0.236681012590553
"381","Bowman","Catholic",0.211420991769267
"382","Brisbane","Catholic",0.245945352257057
"383","Capricornia","Catholic",0.265644904458599
"384","Dawson","Catholic",0.270060711521115
"385","Dickson","Catholic",0.225418385003112
"386","Fadden","Catholic",0.199404481132075
"387","Fairfax","Catholic",0.179202804584818
"388","Fisher","Catholic",0.187163791504359
"389","Flynn","Catholic",0.215617925499074
"390","Forde","Catholic",0.18873612101149
"391","Griffith","Catholic",0.241132726742046
"392","Groom","Catholic",0.234472612953932
"393","Herbert","Catholic",0.268709608870111
"394","Hinkler","Catholic",0.185589488836829
"395","Kennedy","Catholic",0.269862414250228
"396","Leichhardt","Catholic",0.20109547503833
"397","Lilley","Catholic",0.281718423169751
"398","Longman","Catholic",0.192971094810516
"399","Maranoa","Catholic",0.238949258370962
"400","McPherson","Catholic",0.220865411891992
"401","Moncrieff","Catholic",0.212854778702701
"402","Moreton","Catholic",0.183746544274408
"403","Oxley","Catholic",0.203017008970149
"404","Petrie","Catholic",0.223362814513561
"405","Rankin","Catholic",0.177434838421611
"406","Ryan","Catholic",0.217787047229142
"407","Wide Bay","Catholic",0.166615775375092
"408","Wright","Catholic",0.19527988902881
"409","Adelaide","Catholic",0.184622067767159
"410","Barker","Catholic",0.139610172439165
"411","Boothby","Catholic",0.164458707040786
"412","Grey","Catholic",0.167056839875702
"413","Hindmarsh","Catholic",0.234959634495481
"414","Kingston","Catholic",0.145090191199935
"415","Makin","Catholic",0.184010754917633
"416","Mayo","Catholic",0.113958409027763
"417","Port Adelaide","Catholic",0.223883309305453
"418","Sturt","Catholic",0.259285082191413
"419","Wakefield","Catholic",0.152087841533303
"420","Brand","Catholic",0.18040492345959
"421","Burt","Catholic",0.184562426310707
"422","Canning","Catholic",0.181606503263274
"423","Cowan","Catholic",0.235383426642628
"424","Curtin","Catholic",0.216729798862223
"425","Durack","Catholic",0.222062674677054
"426","Forrest","Catholic",0.191617941638244
"427","Fremantle","Catholic",0.278021298338084
"428","Hasluck","Catholic",0.206132594377063
"429","Moore","Catholic",0.231181109098946
"430","O'Connor","Catholic",0.162157839857219
"431","Pearce","Catholic",0.193185631839263
"432","Perth","Catholic",0.248965841325312
"433","Stirling","Catholic",0.265426509541056
"434","Swan","Catholic",0.217895614024338
"435","Tangney","Catholic",0.231927843690733
"436","Bass","Catholic",0.143949107407042
"437","Braddon","Catholic",0.15259947660162
"438","Denison","Catholic",0.166096341142406
"439","Franklin","Catholic",0.169743216590391
"440","Lyons","Catholic",0.146633175538595
"441","Solomon","Catholic",0.22372940764108
"442","Banks","Hinduism",0.0315263853766864
"443","Barton","Hinduism",0.050627711888921
